LOC Updated as of: 06/04/25 03:28:42
Cloc Analysis Results
=====================

Analyzing DigipenEngine/7percent:

github.com/AlDanial/cloc v 1.90  T=4.05 s (86.0 files/s, 22697.2 lines/s)
-------------------------------------------------------------------------------------------------------------
File                                                                      blank        comment           code
DigipenEngine/7percent/PersistentInteractableComponent.cpp                   13             23            100
DigipenEngine/7percent/AssetBrowser.h                                        44            151             99
DigipenEngine/7percent/EntityLayers.cpp                                      24             18             99
DigipenEngine/7percent/MultiSpriteComponent.cpp                              22             29             98
DigipenEngine/7percent/SettingsWindow.cpp                                    23             25             98
DigipenEngine/7percent/Utilities.cpp                                         32             33             96
DigipenEngine/7percent/EnemyBomb.cpp                                         37             19             95
DigipenEngine/7percent/Scheduler.h                                           31            144             95
DigipenEngine/7percent/DefenceStarterComponent.cpp                           22             17             93
DigipenEngine/7percent/CheckBoxComponent.cpp                                 30             21             92
DigipenEngine/7percent/ScriptManagement.cpp                                  24             28             92
DigipenEngine/7percent/pch.h                                                 15             19             92
DigipenEngine/7percent/GameSettings.h                                        39            110             91
DigipenEngine/7percent/History.h                                             34            156             91
DigipenEngine/7percent/ryan-c/VulkanManager.cpp                              10             18             91
DigipenEngine/7percent/CameraComponent.cpp                                   23             17             89
DigipenEngine/7percent/SceneTransitionManager.cpp                            18             32             89
DigipenEngine/7percent/InventoryUIManager.cpp                                19             32             87
DigipenEngine/7percent/IntelDoor.cpp                                         18             35             86
DigipenEngine/7percent/Player.h                                              31             99             86
DigipenEngine/7percent/TweenECS.ipp                                          20             27             86
DigipenEngine/7percent/GameOver.h                                            26             93             84
DigipenEngine/7percent/ScriptComponent.h                                     42            302             84
DigipenEngine/7percent/TrailComponent.h                                      27             13             84
DigipenEngine/7percent/Console.h                                             38            124             83
DigipenEngine/7percent/LayersMatrix.cpp                                      19             24             82
DigipenEngine/7percent/AudioManager.h                                        60            398             81
DigipenEngine/7percent/Intel.cpp                                             16             34             81
DigipenEngine/7percent/GameTime.cpp                                          23             23             80
DigipenEngine/7percent/ryan-c/Mesh3D.cpp                                     24             21             80
DigipenEngine/7percent/LightComponent.h                                      23             64             79
DigipenEngine/7percent/PrefabSpawner.cpp                                     12              8             79
DigipenEngine/7percent/ryan-c/QueryManager.cpp                               25             21             79
DigipenEngine/7percent/CameraController.cpp                                  15             19             78
DigipenEngine/7percent/GameCameraController.cpp                              15             25             76
DigipenEngine/7percent/CameraComponent.h                                     21             83             75
DigipenEngine/7percent/Shield.h                                              19             92             75
DigipenEngine/7percent/ryan-c/ShaderModule.cpp                                5             17             73
DigipenEngine/7percent/ObjectiveTimer.cpp                                    19             23             72
DigipenEngine/7percent/TextComponent.h                                       30             97             72
DigipenEngine/7percent/CameraSystem.cpp                                      16             21             71
DigipenEngine/7percent/ResourceManager.h                                     23             29             71
DigipenEngine/7percent/Transform.h                                           56            325             71
DigipenEngine/7percent/CeilingTurret.h                                       16             72             70
DigipenEngine/7percent/Materials.h                                           35             24             70
DigipenEngine/7percent/Messaging.cpp                                         19             20             70
DigipenEngine/7percent/Import.cpp                                            16             29             68
DigipenEngine/7percent/SceneSoundManager.cpp                                 14             24             67
DigipenEngine/7percent/ryan-c/DescriptorSetManager.cpp                       15             22             67
DigipenEngine/7percent/CutsceneManager.h                                     23             63             66
DigipenEngine/7percent/EntityUID.h                                           37            199             65
DigipenEngine/7percent/JumpPad.cpp                                           14             22             64
DigipenEngine/7percent/ryan-c/PipelineManager.h                              26             19             63
DigipenEngine/7percent/Character.h                                           25             96             62
DigipenEngine/7percent/Button.h                                              31            112             61
DigipenEngine/7percent/Slider.h                                              29             57             61
DigipenEngine/7percent/GameManager.h                                         31            129             60
DigipenEngine/7percent/Messaging.h                                           37            197             60
DigipenEngine/7percent/ObjectiveArrow.cpp                                    13             23             60
DigipenEngine/7percent/PostProcessingComponent.cpp                           14             10             58
DigipenEngine/7percent/Scheduler.cpp                                         15             22             58
DigipenEngine/7percent/ItemInfoPanel.cpp                                      7              5             57
DigipenEngine/7percent/Messaging.ipp                                         16             24             56
DigipenEngine/7percent/Parallax.h                                            20             40             56
DigipenEngine/7percent/ryan-c/TextureManager.h                               19             52             56
DigipenEngine/7percent/PrefabWindow.cpp                                       8             17             55
DigipenEngine/7percent/Checkpoint.h                                          14             17             54
DigipenEngine/7percent/TweenECS.h                                            20            136             54
DigipenEngine/7percent/EnemyBomb.h                                           28             41             53
DigipenEngine/7percent/TweenECS.cpp                                          15             21             53
DigipenEngine/7percent/Engine.h                                              17             35             51
DigipenEngine/7percent/Performance.h                                         28             80             51
DigipenEngine/7percent/UIScreenManager.cpp                                   14             22             51
DigipenEngine/7percent/Bar.cpp                                               14             25             50
DigipenEngine/7percent/ReticleSpread.cpp                                     13             23             50
DigipenEngine/7percent/AnimatorComponent.h                                   14             21             49
DigipenEngine/7percent/EntityStateMachine.h                                  25             85             49
DigipenEngine/7percent/GamepadInputAdapter.cpp                               13             23             49
DigipenEngine/7percent/Holdable.cpp                                          12             17             49
DigipenEngine/7percent/FadeAndDie.cpp                                        12             18             48
DigipenEngine/7percent/GameCameraController.h                                15             73             48
DigipenEngine/7percent/IGameComponentCallbacks.h                             20             71             48
DigipenEngine/7percent/PauseSystem.cpp                                        8             27             48
DigipenEngine/7percent/Filesystem.h                                          16             24             47
DigipenEngine/7percent/PostProcessingComponent.h                              6              1             47
DigipenEngine/7percent/ryan-c/Instance.cpp                                   13             20             47
DigipenEngine/7percent/Gizmo.h                                               26             17             46
DigipenEngine/7percent/Highlightable.cpp                                     11             19             46
DigipenEngine/7percent/ArmPivotIK.h                                           9              0             45
DigipenEngine/7percent/Door.h                                                13             57             45
DigipenEngine/7percent/Editor.h                                              27             63             45
DigipenEngine/7percent/History.cpp                                           13             17             45
DigipenEngine/7percent/IEditorComponent.h                                    23             85             45
DigipenEngine/7percent/TweenBase.cpp                                          4             26             45
DigipenEngine/7percent/ryan-c/VulkanManager.h                                23             20             45
DigipenEngine/7percent/Animation.cpp                                         10             22             44
DigipenEngine/7percent/CheckBoxComponent.h                                   20             58             44
DigipenEngine/7percent/ryan-c/VulkanHelper.h                                  7             17             44
DigipenEngine/7percent/ComponentLookupWorkaround.h                            7             37             43
DigipenEngine/7percent/RenderComponent.h                                     24             18             43
DigipenEngine/7percent/GameSystems.h                                         18             80             42
DigipenEngine/7percent/Healthpack.cpp                                        13             22             42
DigipenEngine/7percent/SceneSoundManager.h                                    9             59             42
DigipenEngine/7percent/Tween.ipp                                             10             19             42
DigipenEngine/7percent/EntitySpawnEvents.h                                   20             70             41
DigipenEngine/7percent/IntelViewer.h                                         15             71             41
DigipenEngine/7percent/NameComponent.cpp                                     11             18             41
DigipenEngine/7percent/ryan-c/CommandManager.h                               23             26             41
DigipenEngine/7percent/ryan-c/Swapchain.h                                    10             19             41
DigipenEngine/7percent/ryan-c/VkInit.h                                       15             18             41
DigipenEngine/7percent/DefenceStarterComponent.h                             16             65             40
DigipenEngine/7percent/EditorTweenModule.cpp                                 12             21             40
DigipenEngine/7percent/Gibs.cpp                                               9             17             40
DigipenEngine/7percent/Hierarchy.h                                           29            129             40
DigipenEngine/7percent/HitFlash.h                                            13             79             40
DigipenEngine/7percent/ObjectiveTimer.h                                      18             91             40
DigipenEngine/7percent/InventoryContainer.h                                  12             70             39
DigipenEngine/7percent/PersistentInteractableComponent.h                     13             66             39
DigipenEngine/7percent/AudioListener.h                                        9             53             38
DigipenEngine/7percent/CustomViewport.h                                      16             58             38
DigipenEngine/7percent/ObjectiveArrow.h                                      12             60             38
DigipenEngine/7percent/GameStateMachine.h                                    23             61             37
DigipenEngine/7percent/InventoryContainer.cpp                                 9             19             37
DigipenEngine/7percent/ReticleSpread.h                                        7             48             37
DigipenEngine/7percent/AudioListener.cpp                                      8             18             36
DigipenEngine/7percent/ECSSysLayers.h                                        28             41             36
DigipenEngine/7percent/EntityEvents.h                                        13             67             36
DigipenEngine/7percent/MenuSoundManager.cpp                                   9             19             36
DigipenEngine/7percent/MultiReference.cpp                                     7              4             36
DigipenEngine/7percent/BombRange.h                                           18             52             35
DigipenEngine/7percent/CameraController.h                                    14             18             35
DigipenEngine/7percent/CameraSystem.h                                        20             87             35
DigipenEngine/7percent/FadeAndDie.h                                          12             61             35
DigipenEngine/7percent/TutorialSoundManager.cpp                               8             17             35
DigipenEngine/7percent/main.cpp                                              11             24             35
DigipenEngine/7percent/game.h                                                25             99             34
DigipenEngine/7percent/ryan-c/Mesh3D.h                                       18             17             34
DigipenEngine/7percent/GamepadInputAdapter.h                                 11             53             33
DigipenEngine/7percent/InventoryUIManager.h                                  12             71             33
DigipenEngine/7percent/Popup.cpp                                              9             17             33
DigipenEngine/7percent/PrefabSpawner.h                                        9             30             33
DigipenEngine/7percent/TutorialSoundManager.h                                 8             53             33
DigipenEngine/7percent/TweenManager.cpp                                       9             22             33
DigipenEngine/7percent/TweenManager.h                                        13             77             33
DigipenEngine/7percent/EntitySpawnEvents.cpp                                 10             18             32
DigipenEngine/7percent/Singleton.h                                           11             45             32
DigipenEngine/7percent/TextSystem.cpp                                        12             19             32
DigipenEngine/7percent/TweenManager.ipp                                       6             21             32
DigipenEngine/7percent/ryan-c/DescriptorSetManager.h                         13             17             32
DigipenEngine/7percent/JumpPad.h                                             12             64             31
DigipenEngine/7percent/AnimatorSystem.cpp                                     9             18             30
DigipenEngine/7percent/MenuSoundManager.h                                     8             53             30
DigipenEngine/7percent/PlayerDeathManager.cpp                                 8             17             30
DigipenEngine/7percent/RandUID.cpp                                           12             25             30
DigipenEngine/7percent/TrailSystem.cpp                                        8              7             30
DigipenEngine/7percent/UIScreenManager.h                                     13             59             30
DigipenEngine/7percent/ryan-c/DescriptorPoolManager.cpp                      11             17             30
DigipenEngine/7percent/ryan-c/ShaderModule.h                                 16             19             30
